Alessandra | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Alessandra.txt | 22 | EnemyInCityTroopWoundedToDeathRatePct +10
Jan Karol Chodkiewicz | MayorDeathToSurvivalRatePct | 15.0 | Ascension | ASCENSION 2 |  | data/import/Jan_Karol_Chodkiewicz.txt | 20 | WhenGeneralIsTheMayor_SubCityDeathIntoSurvivalRatePct +15
Jester | MayorDeathToSurvivalRatePct | 10.0 | Ascension | ASCENSION 3 |  | data/import/Jester.txt | 23 | MayorDeathToSurvivalRatePct +10
Jumong | EnemyWoundedToDeathWhenAttackingPct | 6.0 | Specialty | SPECIALTY 4 | 5 | data/import/Jumong.txt | 44 | EnemyWoundedToDeathWhenAttackingPct +6
King Sejong | MayorDeathToSurvivalRatePct | 20.0 | Ascension | ASCENSION 3 |  | data/import/King_Sejong.txt | 22 | MayorSubCityDeathToSurvivalRatePct +20
Lincoln | MayorDeathToSurvivalRatePct | 10.0 | Ascension | ASCENSION 3 |  | data/import/Lincoln.txt | 23 | MayorSubCityDeathToSurvivalRatePct +10
Lincoln | MayorDeathToSurvivalRatePct | 10.0 | Specialty | SPECIALTY 4 | 5 | data/import/Lincoln.txt | 48 | MayorSubCityDeathToSurvivalRatePct +10
Ludwig | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Ludwig.txt | 23 | EnemyInCityTroopWoundedIntoDeathRatePct +10
Margaret I | MayorDeathToSurvivalRatePct | 10.0 | Ascension | Ascension 3 | 3 | data/import/Margaret_I.txt | 36 | SubordinateCityDeathToSurvivalRatePct +10
Mark Antony | EnemyWoundedToDeathWhenAttackingPct | 1.0 | Specialty | Specialty 3 | 1 | data/import/Mark_Anthony.txt | 76 | EnemyWoundedToDeathWhenAttackingPct 1
Mark Antony | EnemyWoundedToDeathWhenAttackingPct | 1.0 | Specialty | Specialty 3 | 2 | data/import/Mark_Anthony.txt | 79 | EnemyWoundedToDeathWhenAttackingPct 1
Mark Antony | EnemyWoundedToDeathWhenAttackingPct | 2.0 | Specialty | Specialty 3 | 3 | data/import/Mark_Anthony.txt | 82 | EnemyWoundedToDeathWhenAttackingPct 2
Mark Antony | EnemyWoundedToDeathWhenAttackingPct | 2.0 | Specialty | Specialty 3 | 4 | data/import/Mark_Anthony.txt | 85 | EnemyWoundedToDeathWhenAttackingPct 2
Mark Antony | EnemyWoundedToDeathWhenAttackingPct | 4.0 | Specialty | Specialty 3 | 5 | data/import/Mark_Anthony.txt | 88 | EnemyWoundedToDeathWhenAttackingPct 4
Mark Antony | MayorDeathToSurvivalRatePct | 10.0 | Ascension | Ascension 3 | 3 | data/import/Mark_Anthony.txt | 28 | MayorSubCityDeathToSurvivalRatePct +10
Matthias I | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Matthaias_I.txt | 27 | EnemyInCityTroopWoundedToDeathRatePct +10
Maximilian II | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Maximilian_II.txt | 26 | EnemyInCityTroopWoundedIntoDeathRatePct +10
Montezuma I | MayorDeathToSurvivalRatePct | 15.0 | Ascension | ASCENSION 3 |  | data/import/Montezuma_I.txt | 29 | MayorDeathToSurvivalRatePct +15
Montezuma I | MayorDeathToSurvivalRatePct | 15.0 | Ascension | ASCENSION 3 |  | data/import/Montezuma_I_20260217_232744.txt | 29 | MayorDeathToSurvivalRatePct +15
Napoleon | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | Ascension 2 | 2 | data/import/Napoleon.txt | 25 | EnemyInCityTroopWoundedIntoDeathRatePct +10
Narcissus | EnemyWoundedToDeathWhenAttackingPct | 10.0 | Covenant | S |  | data/import/Narcissus.txt | 142 | EnemyWoundedToDeathWhenAttackingPct +10
Narses (Awakened) | MayorDeathToSurvivalRatePct | 15.0 | Ascension | ASCENSION 2 |  | data/import/Narses.txt | 23 | WhenGeneralIsTheMayor_SubCityDeathIntoSurvivalRatePct +15
Nero | MayorSubCityDeathToSurvivalRatePct | 10.0 | Ascension | ASCENSION 3 |  | data/import/Nero.txt | 28 | DeathIntoSurvivalRateInSubordinateCityPct +10
Nordic Barbarian King | MayorDeathToSurvivalRatePct | 15.0 | Ascension | ASCENSION 3 |  | data/import/Nordic_Barbarian_King.txt | 25 | MayorDeathToSurvivalRatePct +15
Pachacuti | MayorDeathToSurvivalRatePct | 20.0 | Ascension | ASCENSION 3 |  | data/import/Pachacuti.txt | 29 | MayorSubCityDeathToSurvivalRatePct +20
Peter the Great | EnemyInCityTroopWoundedToDeathRatePct | 8.0 | Ascension | ASCENSION 2 |  | data/import/Peter_the_Great.txt | 17 | EnemyInCityTroopWoundedIntoDeathRatePct +8
Petronas | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | Ascension 2 | 2 | data/import/Petronas.txt | 21 | EnemyInCityTroopWoundedToDeathRatePct +10
Philip II | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | Ascension 2 | 2 | data/import/Philip_II.txt | 23 | EnemyInCityTroopWoundedIntoDeathRatePct +10
Philip Sheridan | EnemyWoundedToDeathWhenAttackingPct | 10.0 | Specialty | SPECIALTY 3 | 5 | data/import/Philip_Sheridan.txt | 23 | EnemyWoundedToDeathWhenAttackingPct +10
Poligenus | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Poligenus.txt | 25 | EnemyInCityTroopWoundedIntoDeathRatePct +10
Pompey | MayorDeathToSurvivalRatePct | 10.0 | Ascension | ASCENSION 3 |  | data/import/Pompey.txt | 25 | MayorDeathToSurvivalRatePct +10
Pompey | MayorSubCityDeathToSurvivalRatePct | 16.0 | Specialty | SPECIALTY 1 | 5 | data/import/Pompey.txt | 38 | SubCityDeathToSurvivalRatePct +16
Princess Kaguya | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Princess_Kaguya.txt | 22 | EnemyInCityTroopWoundedToDeathRatePct +10
Sherman | EnemyInCityTroopWoundedToDeathRatePct | 8.0 | Ascension | ASCENSION 2 |  | data/import/Sherman.txt | 20 | EnemyInCityTroopWoundedToDeathRatePct +8
Sherman | EnemyWoundedToDeathWhenAttackingPct | 10.0 | Specialty | SPECIALTY 3 | 5 | data/import/Sherman.txt | 44 | EnemyWoundedToDeathWhenAttackingPct +10
Simeon the Great | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Simeon_the_Great.txt | 25 | EnemyInCityTroopWoundedToDeathRatePct +10
Soult | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Soult.txt | 22 | EnemyInCityTroopWoundedToDeathRatePct +10
Surena | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Surena.txt | 20 | EnemyInCityTroopWoundedIntoDeathRatePct +10
Tachibana Ginchiyo | EnemyWoundedToDeathWhenAttackingPct | 10.0 | Covenant | COVENANT 2 |  | data/import/Tachibana_Ginchiyo.txt | 65 | EnemyWoundedToDeathWhenAttackingPct +10
Takeda Shingen | EnemyInCityTroopWoundedToDeathRatePct | 8.0 | Ascension | ASCENSION 2 |  | data/import/Takeda_Shingen.txt | 19 | EnemyInCityTroopWoundedToDeathRatePct +8
Tokugawa Ieyasu | MayorDeathToSurvivalRatePct | 20.0 | Ascension | ASCENSION 3 |  | data/import/Tokugawa_Ieyasu.txt | 25 | MayorSubCityDeathToSurvivalRatePct +20
Tokugawa Ieyasu | MayorDeathToSurvivalRatePct | 6.0 | Specialty | SPECIALTY 2 | 5 | data/import/Tokugawa_Ieyasu.txt | 42 | MayorSubCityDeathToSurvivalRatePct +6
Tomyris | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Tomyris.txt | 21 | EnemyInCityTroopWoundedIntoDeathRatePct +10
Toyotomi Hideyori | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Toyotomi_Hideyori.txt | 22 | EnemyInCityTroopWoundedToDeathRatePct +10
Trajan | EnemyInCityTroopWoundedToDeathRatePct | 8.0 | Ascension | ASCENSION 2 |  | data/import/Trajan.txt | 20 | EnemyInCityTroopWoundedToDeathRatePct +8
Uesugi Kenshin | MayorDeathToSurvivalRatePct | 6.0 | Specialty | SPECIALTY 2 | 5 | data/import/Uesugi_Kenshin.txt | 19 | MayorSubCityDeathToSurvivalRatePct +6
Ulysses S. Grant | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Ulysses_S_Grant.txt | 23 | EnemyInCityTroopWoundedIntoDeathRatePct +10
Wallenstein | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | Ascension 2 | 2 | data/import/Wallenstein.txt | 23 | EnemyInCityTroopWoundedToDeathRatePct +10
William Wallace | EnemyWoundedToDeathWhenAttackingPct | 10.0 | Specialty | SPECIALTY 3 | 5 | data/import/William_Wallace.txt | 58 | EnemyWoundedToDeathWhenAttackingPct +10
Yeon Gaesomun | MayorDeathToSurvivalRatePct | 10.0 | Ascension | ASCENSION 3 |  | data/import/Yeon_Gaesomun.txt | 28 | MayorDeathToSurvivalRatePct +10
Zhao Yun | EnemyInCityTroopWoundedToDeathRatePct | 10.0 | Ascension | ASCENSION 2 |  | data/import/Zhao_Yun.txt | 20 | EnemyInCityTroopWoundedIntoDeathRatePct +10
